time,temp_c,condition,wind_kph,wind_dir,pressure_mb,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,gust_kph,uv,vis_km
2024-09-03 00:00,23.6,Clear,8.6,NNE,1014.0,0.0,0.0,63,11,25.3,23.6,25.3,16.1,0,0,0,0,13.1,0.0,10.0
2024-09-03 01:00,23.2,Clear,7.9,NE,1014.0,0.0,0.0,62,12,25.1,23.3,25.1,15.7,0,0,0,0,12.5,0.0,10.0
2024-09-03 02:00,23.1,Clear,6.5,NNE,1014.0,0.0,0.0,62,15,25.0,23.1,25.0,15.5,0,0,0,0,10.2,0.0,10.0
2024-09-03 03:00,22.9,Clear,7.9,NNE,1014.0,0.0,0.0,62,18,24.9,22.9,24.9,15.3,0,0,0,0,12.5,0.0,10.0
2024-09-03 04:00,22.8,Clear,10.4,N,1014.0,0.0,0.0,62,19,24.8,22.8,24.8,15.2,0,0,0,0,16.9,0.0,10.0
2024-09-03 05:00,22.6,Clear,11.9,N,1014.0,0.0,0.0,62,19,24.8,22.6,24.8,14.9,0,0,0,0,19.9,0.0,10.0
2024-09-03 06:00,22.6,Clear,11.2,N,1015.0,0.0,0.0,59,20,24.8,22.6,24.8,14.3,0,0,0,0,19.1,0.0,10.0
2024-09-03 07:00,23.1,Sunny,9.4,N,1015.0,0.0,0.0,57,23,24.9,23.1,24.9,14.1,0,0,0,0,15.3,6.0,10.0
2024-09-03 08:00,24.4,Sunny,5.8,NNE,1015.0,0.0,0.0,52,23,25.5,24.5,25.5,14.1,0,0,0,0,7.8,6.0,10.0
2024-09-03 09:00,25.3,Sunny,6.8,E,1016.0,0.0,0.0,53,24,26.2,25.3,26.2,15.1,0,0,0,0,8.6,7.0,10.0
2024-09-03 10:00,25.6,Sunny,10.1,E,1016.0,0.0,0.0,57,23,26.6,25.6,26.6,16.3,0,0,0,0,12.2,7.0,10.0
