Description;Date de début;Date de fin;Zones;annee_scolaire
Vacances 2ème période;2025-06-07 00:00:00+02:00;2025-06-22 00:00:00+02:00;Nouvelle Calédonie;2025
Vacances 3ème période;2025-08-09 00:00:00+02:00;2025-08-24 00:00:00+02:00;Nouvelle Calédonie;2025
Début des Vacances d'Été;2025-12-20 00:00:00+01:00;2025-12-20 00:00:00+01:00;Nouvelle Calédonie;2025
Vacances 4ème période;2025-10-11 00:00:00+02:00;2025-10-26 00:00:00+02:00;Nouvelle Calédonie;2025
Vacances 1ère période;2025-04-05 00:00:00+02:00;2025-04-20 00:00:00+02:00;Nouvelle Calédonie;2025
Début des Vacances d'Été;2025-07-05 00:00:00+02:00;2025-07-05 00:00:00+02:00;Corse;2024-2025
Pont de l'Ascension;2025-05-29 00:00:00+02:00;2025-06-02 00:00:00+02:00;Zone B;2024-2025
Vacances d'Été;2025-07-05 00:00:00+02:00;2025-09-01 00:00:00+02:00;Zone B;2024-2025
Vacances de la Toussaint;2024-10-19 00:00:00+02:00;2024-11-04 00:00:00+01:00;Zone C;2024-2025
Vacances de Noël;2024-12-21 00:00:00+01:00;2025-01-06 00:00:00+01:00;Zone C;2024-2025
Vacances de Noël;2024-12-21 00:00:00+01:00;2025-01-06 00:00:00+01:00;Guadeloupe;2024-2025
Vacances de Pâques;2025-04-12 00:00:00+02:00;2025-04-28 00:00:00+02:00;Martinique;2024-2025
Vacances de Printemps;2025-04-05 00:00:00+02:00;2025-04-22 00:00:00+02:00;Zone B;2024-2025
Vacances de Noël;2024-12-21 00:00:00+01:00;2025-01-06 00:00:00+01:00;Martinique;2024-2025
Vacances d'Hiver;2025-02-15 00:00:00+01:00;2025-03-03 00:00:00+01:00;Zone C;2024-2025
Vacances de Printemps;2025-04-12 00:00:00+02:00;2025-04-28 00:00:00+02:00;Zone C;2024-2025
Pont de l'Ascension;2025-05-29 00:00:00+02:00;2025-06-02 00:00:00+02:00;Zone C;2024-2025
Vacances d'Été;2025-07-05 00:00:00+02:00;2025-09-01 00:00:00+02:00;Zone C;2024-2025
Vacances de la Toussaint;2024-10-19 00:00:00+02:00;2024-11-04 00:00:00+01:00;Corse;2024-2025
Pont de l'Ascension;2025-05-29 00:00:00+02:00;2025-06-02 00:00:00+02:00;Corse;2024-2025
Lundi de Pentecôte;2025-06-09 00:00:00+02:00;2025-06-09 00:00:00+02:00;Corse;2024-2025
Vacances de Carnaval;2025-02-22 00:00:00+01:00;2025-03-10 00:00:00+01:00;Guyane;2024-2025
Grandes Vacances;2025-07-05 00:00:00+02:00;2025-08-12 00:00:00+02:00;Polynésie;2024-2025
Vacances d'Hiver;2025-02-15 00:00:00+01:00;2025-04-03 00:00:00+02:00;Corse;2024-2025
Abolition de l’esclavage;2025-05-27 00:00:00+02:00;2025-05-27 00:00:00+02:00;Guadeloupe;2024-2025
Vacances d'Été;2025-07-05 00:00:00+02:00;2025-09-01 00:00:00+02:00;Martinique;2024-2025
Vacances de Noël;2024-12-21 00:00:00+01:00;2025-01-06 00:00:00+01:00;Guyane;2024-2025
Pont de l'Ascension;2025-05-29 00:00:00+02:00;2025-06-02 00:00:00+02:00;Guyane;2024-2025
Vacances de Noël;2024-12-14 00:00:00+01:00;2025-01-13 00:00:00+01:00;Polynésie;2024-2025
Vacances d'Hiver;2025-02-22 00:00:00+01:00;2025-03-10 00:00:00+01:00;Zone A;2024-2025
Vacances de Printemps;2025-04-19 00:00:00+02:00;2025-05-05 00:00:00+02:00;Zone A;2024-2025
Pont de l'Ascension;2025-05-29 00:00:00+02:00;2025-06-02 00:00:00+02:00;Zone A;2024-2025
Vacances de la Toussaint;2024-10-19 00:00:00+02:00;2024-11-04 00:00:00+01:00;Zone B;2024-2025
Vacances de Noël;2024-12-21 00:00:00+01:00;2025-01-06 00:00:00+01:00;Zone B;2024-2025
Vacances d'Hiver;2025-02-08 00:00:00+01:00;2025-02-24 00:00:00+01:00;Zone B;2024-2025
